zip,state,Region,zip_first_two_digits,zip_first_three_digits
01028,MA,Northeast,01,010
01029,MA,Northeast,01,010
01030,MA,Northeast,01,010
01031,MA,Northeast,01,010
01032,MA,Northeast,01,010
01033,MA,Northeast,01,010
01034,MA,Northeast,01,010
01035,MA,Northeast,01,010
01036,MA,Northeast,01,010
01037,MA,Northeast,01,010
01038,MA,Northeast,01,010
01039,MA,Northeast,01,010
01040,MA,Northeast,01,010
01041,MA,Northeast,01,010
01050,MA,Northeast,01,010
01053,MA,Northeast,01,010
01054,MA,Northeast,01,010
01056,MA,Northeast,01,010
01057,MA,Northeast,01,010
01059,MA,Northeast,01,010
01060,MA,Northeast,01,010
01061,MA,Northeast,01,010
01062,MA,Northeast,01,010
01063,MA,Northeast,01,010
01066,MA,Northeast,01,010
01068,MA,Northeast,01,010
01069,MA,Northeast,01,010
01070,MA,Northeast,01,010
01071,MA,Northeast,01,010
01072,MA,Northeast,01,010
01073,MA,Northeast,01,010
01074,MA,Northeast,01,010
01075,MA,Northeast,01,010
01077,MA,Northeast,01,010
01079,MA,Northeast,01,010
01080,MA,Northeast,01,010
01081,MA,Northeast,01,010
01082,MA,Northeast,01,010
01083,MA,Northeast,01,010
01084,MA,Northeast,01,010
01085,MA,Northeast,01,010
01086,MA,Northeast,01,010
01088,MA,Northeast,01,010
01089,MA,Northeast,01,010
01090,MA,Northeast,01,010
01092,MA,Northeast,01,010
01093,MA,Northeast,01,010
01094,MA,Northeast,01,010
01095,MA,Northeast,01,010
01096,MA,Northeast,01,010
01097,MA,Northeast,01,010
01098,MA,Northeast,01,010
01101,MA,Northeast,01,011
01102,MA,Northeast,01,011
01103,MA,Northeast,01,011
01104,MA,Northeast,01,011
01105,MA,Northeast,01,011
01106,MA,Northeast,01,011
01107,MA,Northeast,01,011
01108,MA,Northeast,01,011
01109,MA,Northeast,01,011
01111,MA,Northeast,01,011
01115,MA,Northeast,01,011
01116,MA,Northeast,01,011
01118,MA,Northeast,01,011
01119,MA,Northeast,01,011
