Company,Zip Prefix,WeekNum,Sales,Temp,Precip,GoogTrend,GoogTrendM1,GoogTrendR,GoogTrendRM1,Gprice,Non-Physical Sales,Month
H&M,2,47,2978.78,41.1065,0.30217,100,69,52,36,2.7656,71155437.58,11
H&M,2,48,5432.17,41.1374,0.2076,82,100,44,52,2.7009,115816443,12
H&M,2,49,3083.28,34.3631,0.42581,66,82,35,44,2.5858,95699514.06,12
H&M,2,50,5913.24,36.6606,0.06,65,66,35,35,2.4426,110545404.8,12
H&M,2,51,4710.62,42.6524,0.14941,66,65,36,35,2.301,67497543.99,12
H&M,3,2,39.98,35.9796,0.11669,48,46,25,24,3.2574,57539409.47,1
H&M,3,4,9.99,20.1429,0.0048571,48,49,25,25,3.2417,62557438.97,1
H&M,3,5,19.99,21.6265,0.05798,52,48,27,25,3.248,57741423.48,2
H&M,3,6,59.3,18.1408,0.11184,46,52,24,27,3.2816,58429948.63,2
H&M,3,9,87,18.5837,0.0013265,51,49,27,25,3.4321,67214297.82,3
H&M,3,10,128.01,30.2837,0.10259,55,51,29,27,3.4652,55112365.96,3
H&M,3,12,86.2,28.5082,0.055327,59,54,31,29,3.4991,56587827.29,3
H&M,3,13,44.98,38.5224,0.32759,57,59,30,31,3.5253,66181801.73,4
H&M,3,14,14.98,46.8898,0.073959,56,57,29,30,3.5501,53044599.44,4
H&M,3,15,10.09,42.5224,0.11476,59,56,31,29,3.5921,55548326.56,4
H&M,3,16,22.98,48.2286,0.049816,53,59,27,31,3.6202,52812187.85,4
H&M,3,17,10.98,47.4245,0.14329,54,53,28,27,3.6246,68064917.82,4
H&M,3,19,100.07,61.3796,0.12504,55,58,28,30,3.5956,54014649.01,5
H&M,3,20,322.19,55.9571,0.089694,54,55,28,28,3.598,53551134.32,5
H&M,3,26,104.94,72.9816,0.31231,54,49,28,26,3.6243,60978421.45,7
H&M,3,28,17.99,71.451,0.19214,53,48,27,25,3.5468,49419270.48,7
H&M,3,31,55.66,68.1469,0.038755,58,58,30,30,3.4483,64061272.56,8
